Identifier,Status catalogue,Business line/Ligne d'affaires,Type of product/ Type de produit,Title/Titre (Eng),Description (English/anglais),Catalogue Link (EN),Title/Titre (Fra),Description (French/français),Catalogue Link (FR),Provider/Fournisseur,Homepage,Product has related courses/Ce produit a des cours connexes,Related courses/Cours connexes,Primary Intended Audience/Public ciblé principal,Total length of English product (h:mm:ss) / Durée totale du produit anglais (h:mm:ss),Total length of French product (h:mm:ss) / Durée totale du produit francais (h:mm:ss) copy,Duration - Showcard,Duration - Product page,Curriculum Architecture Placement/Emplacement dans l'architecture du curriculum,"If Corporate Skills, choose a sub-category/ Si Compétences organisationnelles, choisir une sous-catégorie","If Digital and Data, choose a sub-category/ Si numérique et données , choisir une sous-catégorie","If Healthy Workplace, choose a sub-category/ Si milieu de travail sain, choisir une sous-catégorie","If Public Sector Foundations, choose a sub-category/ Si fondements du secteur public, choisir une sous-catégorie","If Transferable Skills, choose a sub-category/ Si compétences transférables, choisir une sous-catégorie",Topics/Sujets,"Under Communication, are any of these sub-topics applicable?/Sous communication, un de ces sous-sujets est-il applicable ?","Under digital, data and design, are any of these sub-topics applicable?/Sous numérique, données et conception, un de ces sous-sujets est-il applicable ?","Under leadership, are any of these sub-topics applicable?/Sous leadership, un de ces sous-sujets est-il applicable ?","Under wellbeing, are any of these sub-topics applicable?/Sous mieux-être, un de ces sous-sujets est-il applicable ?","Under diversity, inclusion and Indigenous reconciliation, are any of these sub-topics applicable?/Sous diversité, inclusion et réconciliation avec les Autochtones, un de ces sous-sujets est-il applicable ?","Under working with others, are any of these sub-topics applicable?/Sous travailler ensemble, un de ces sous-sujets est-il applicable ?","Under project and product management, are any of these sub-topics applicable?/Sous gestion de produits et de projets, un de ces sous-sujets est-il applicable ?","Under government operations, are any of these sub-topics applicable?/Sous opérations gouvernementales, un de ces sous-sujets est-il applicable ?"
COR1-J15,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Job aid/Outil de travail,Workforce Adjustment Process (COR1-J15,"This job aid outlines the key elements of the workforce adjustment process and answers common questions about affected status, employee roles and where to find information and resources regarding pay, benefits and pension in the context of a workforce adjustment.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J15&cm_locale=en,Processus de réaménagement des effectifs (COR1-J15),"Cet outil de travail présente les principaux éléments du processus de réaménagement des effectifs et répond aux questions les plus courantes sur le statut d’employé touché, les rôles des employés et les endroits où trouver des renseignements et des ressources sur la rémunération, les avantages sociaux et le régime de retraite dans un contexte de réaménagement des effectifs.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J15&cm_locale=fr ,CSPS/EFPC,Brightspace (unknown),Yes/Oui,COR123 - Understanding Workforce Adjustment/Comprendre le réaménagement des effectifs,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,Government operations/Opérations gouvernementales,,,,,,,,"Policy and regulation/Politiques et réglementation,Human resources/Ressources humaines"
COR1-V03,Active / Shown in catalogue,Transferable Skills/Compétences transférables,Video/Vidéo,How to Handle Complainants Whose Behaviour is Unreasonable (COR1-V03),"In this video, Dr. Evens Villeneuve, a psychiatrist at the Institut en santé mentale de Québec, describes the profile of repeat complainants, called ""querulants,"" and the effects of their behaviour on organizations. He also presents effective strategies that will allow organizations to more successfully handle complainants who demonstrate difficult behaviour.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V03&cm_locale=en,Traiter avec des plaignants dont la conduite est déraisonnable (COR1-V03),"Dans cette vidéo, le Dr Evens Villeneuve, psychiatre à l'Institut en santé mentale de Québec, brosse le portrait des plaignants à répétition, dits « quérulents », et des effets de leurs comportements sur les organisations. Il présente aussi des stratégies efficaces permettant aux organisations de mieux composer avec des plaignants qui affichent un comportement difficile.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V03&cm_locale=fr,CSPS/EFPC,Brightspace - No Registration,No/Non,,"Employees/Employés,Managers/Gestionnaires,Supervisors/Superviseurs,Executives/Cadres,Functional Specialists/Spécialistes fonctionnels",14:13,16:40,10 minutes to 1 hour/10 minutes à 1 h,10 minutes to 1 hour/10 minutes à 1 h,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,"Government operations/Opérations gouvernementales,Leadership/Leadership",,,Conflict resolution/Résolution de conflits,,,,,"Values and ethics/Valeurs et éthique,Human resources/Ressources humaines"
COR1-V06,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Video/Vidéo,The Essentials: Human Resources (COR1-V06),This quick reference tool outlines the various functions of human resources in the workplace.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V06&cm_locale=en,Les Essentiels : ressources humaines (COR1-V06),Cet outil de référence rapide décrit les rôles variés des ressources humaines dans le milieu de travail.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V06&cm_locale=fr,CSPS/EFPC,Brightspace - No Registration,No/Non,,Employees/Employés,1:11,1:20,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,"Government operations/Opérations gouvernementales,Wellbeing/Mieux-être",,,,Healthy workplace/Milieu de travail sain,,,,"Human resources/Ressources humaines,Service delivery/Prestation de services"
COR1-V08,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Video/Vidéo,Year End Conversations (COR1-V08),This reference tool provides tips and suggestions on having useful and constructive year-end performance management discussions.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V08&cm_locale=en,Conversations de fin d'exercice (COR1-V08),Cet outil de référence fournit des conseils pour avoir des discussions utiles et constructives sur la gestion du rendement en fin d’année.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V08&cm_locale=fr,CSPS/EFPC,Brightspace - No Registration,No/Non,,"Employees/Employés,Managers/Gestionnaires,Supervisors/Superviseurs",12:56,14:07,10 minutes to 1 hour/10 minutes à 1 h,10 minutes to 1 hour/10 minutes à 1 h,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,"Leadership/Leadership,Working with others/Travailler ensemble,Government operations/Opérations gouvernementales",,,Operational effectiveness/Efficacité opérationnelle,,,Managing teams/Gestion d’équipe,,Human resources/Ressources humaines
COR1-V09,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Video/Vidéo,Inclusive Hiring: Five Tips on Diversifying Your Workforce (COR1-V09),This video presents five tips to ensuring an inclusive hiring process.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V09&cm_locale=en,Embauche inclusive : cinq conseils pour diversifier votre effectif (COR1-V09),Cette vidéo présente cinq conseils pour assurer un processus d'embauche inclusif.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V09&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,"Employees/Employés,Managers/Gestionnaires,Supervisors/Superviseurs,Executives/Cadres,""Sr. Leaders (ADMS, DMs)/Haute direction (SMA, SM)"",Functional Specialists/Spécialistes fonctionnels",2:11,2:24,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,Government operations/Opérations gouvernementales,,,,,,,,Human resources/Ressources humaines
COR1-V10,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Video/Vidéo,Amendments to the Public Service Employment Act: Overview for Hiring Managers (COR1-V10),"This event recording provides hiring managers with an overview of the amendments to the Public Service Employment Act, including new sub-delegated staffing authorities and the requirement to conduct an evaluation of assessment methods to identify and remove biases and barriers or mitigate their impacts, among other important changes.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V10&cm_locale=en,Modifications apportées à la Loi sur l’emploi dans la fonction publique : aperçu pour les gestionnaires d'embauche (COR1-V10),"Cet enregistrement d'évènement permet de présenter aux gestionnaires d'embauche un aperçu des modifications apportées à la Loi sur l'emploi dans la fonction publique, y compris les nouveaux pouvoirs de dotation subdélégués et l'obligation de procéder à une évaluation des méthodes d'évaluation afin d'établir et de supprimer les préjugés et les obstacles, parmi les autres changements importants.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V10&cm_locale=fr ,CSPS/EFPC,CSPS website,,,Managers/Gestionnaires,55:44,58:41,10 minutes to 1 hour/10 minutes à 1 h,10 minutes to 1 hour/10 minutes à 1 h,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,Government operations/Opérations gouvernementales,,,,,,,,"Human resources/Ressources humaines,Policy and regulation/Politiques et réglementation"
COR1-V11,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Video/Vidéo,"Supporting Employment Equity, Diversity and Inclusion Through Staffing (COR1-V11)",This event recording explores staffing options under the Public Service Employment Act that support the organizational diversity and inclusion objectives of the Employment Equity Act.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V11&cm_locale=en,"Favoriser l'équité en matière d'emploi, la diversité et l'inclusion grâce à la dotation (COR1-V11)",Cet enregistrement d'événement permet d'explorer les options de dotation offertes par la Loi sur l'emploi dans la fonction publique qui appuient les objectifs organisationnels en matière de diversité et d'inclusion énoncés dans la Loi sur l'équité en matière d'emploi.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V11&cm_locale=fr,CSPS/EFPC,CSPS website,,,,57:13,57:13,"1-3.5 hours (Half-day)/1-3,5 h (demi-journée)",1 hour/1 h,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,Government operations/Opérations gouvernementales,,,,,,,,"Human resources/Ressources humaines,Service delivery/Prestation de services"
COR1-V12,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Video/Vidéo,Understanding Priority Entitlements in Staffing (COR1-V12),"This video provides an overview of priority entitlements and how they work in public service staffing, including information on the roles of hiring managers, HR professionals, and the Public Service Commission, while also clarifying key concepts and answering frequently asked questions through concrete scenarios.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V12&cm_locale=en,Comprendre les droits de priorité en matière de dotation (COR1-V12),"Cette vidéo donne un aperçu des droits de priorité et de leur fonctionnement dans le processus de dotation à la fonction publique, et comprend des renseignements sur le rôle des gestionnaires d’embauche, des spécialistes des RH et de la Commission de la fonction publique, tout en démystifiant des concepts clés et en fournissant la réponse à des questions courantes à l’aide de mises en situation concrètes.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-V12&cm_locale=fr,CSPS/EFPC,Brightspace - No Registration,No/Non,,"Managers/Gestionnaires,Other (please specify)/Autre (veuillez spécifier)",17:40,18:25,10 minutes to 1 hour/10 minutes à 1 h,10 minutes to 1 hour/10 minutes à 1 h,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,Government operations/Opérations gouvernementales,,,,,,,,Human resources/Ressources humaines
COR2-J01,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Job aid/Outil de travail,The Essentials of Financial Responsibilities as Public Servants (COR2-J01),This job aid summarizes your financial responsibilities as a public servant and helps guide your actions.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR2-J01&cm_locale=en,Les responsabilités financières des fonctionnaires (COR2-J01),Cet outil de travail résume les responsabilités financières des fonctionnaires et contribue à orienter leurs actions.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR2-J01&cm_locale=fr,CSPS/EFPC,Brightspace - No Registration,No/Non,,"Employees/Employés,Managers/Gestionnaires,Supervisors/Superviseurs,Functional Specialists/Spécialistes fonctionnels",,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Finance,,,,,Government operations/Opérations gouvernementales,,,,,,,,"Business and finance/Affaires et finances,Assets and facilities management/Gestion des biens et des installations,Procurement/Approvisionnement"
COR2-J02,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Job aid/Outil de travail,Understanding Government from a Financial Perspective (COR2-J02),"This job aid provides an overview of the Canadian system of government from a financial perspective, including the roles and responsibilities of major players such as the Comptroller General of Canada and the Chief Financial Officer.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR2-J02&cm_locale=en,Comprendre le gouvernement d'un point de vue financier (COR2-J02),"Cet outil de travail donne un aperçu de l'appareil gouvernemental canadien d'un point de vue financier, notamment des rôles et responsabilités des principaux intervenants, tels que le contrôleur général du Canada et le dirigeant principal des finances.",https://catalogue.csps-efpc.gc.ca/product?catalog=COR2-J02&cm_locale=fr ,CSPS/EFPC,Brightspace - Registration,Yes/Oui,COR216 - Key Concepts in Financial Management/Principaux concepts en gestion financière,Functional Specialists/Spécialistes fonctionnels,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Finance,,,,,Government operations/Opérations gouvernementales,,,,,,,,"Business and finance/Affaires et finances,How government works/Les rouages du gouvernement"
